URL,PAGE_TYPE,PRODUCT_COUNT,PRODUCT_COUNT_GROUP,INCOMING_HTML_PAGES,INCOMING_SOURCE_URLS,PARENT_URL,CATEGORY_URL,REACHABLE_FROM_HOME,IN_SITEMAP,INDEXABILITY,RECOMMENDED_INTERNAL_LINK_SOURCES,PRIORITY,TITLE,GENERATED_BY
/bizhuta-s-moysanit/,intent_landing,0,0,0,,/k/bijuta/,/k/aksesoari/,NO,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Бижута с мойсанит – материал и детайли | Българитъм,src/pages/[...slug].astro or dedicated route
/bizhuta-s-rubin/,intent_landing,0,0,0,,/k/bijuta/,/k/aksesoari/,NO,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Бижута с рубин – материал и детайли | Българитъм,src/pages/[...slug].astro or dedicated route
/bizhuta-s-tigrovo-oko/,intent_landing,0,0,0,,/k/bijuta/,/k/aksesoari/,NO,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Бижута с тигрово око – материал и детайли | Българитъм,src/pages/[...slug].astro or dedicated route
/bizhuta-s-tsitrin/,intent_landing,0,0,0,,/k/bijuta/,/k/aksesoari/,NO,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Бижута с цитрин – материал и детайли | Българитъм,src/pages/[...slug].astro or dedicated route
/boho-roklya/,intent_landing,0,0,0,,/k/damsko-obleklo/,/bulgarski-drehi/,NO,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Бохо рокли – модели и идеи | Българитъм,src/pages/[...slug].astro or dedicated route
/bulgarski-boti/,intent_landing,0,0,0,,/bulgarski-drehi/obuvki/,/k/aksesoari/,NO,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Български боти – модели и идеи | Българитъм,src/pages/[...slug].astro or dedicated route
/bulgarski-brandove-za-drehi/,intent_landing,0,0,2,/bulgarski-brandove-za-drehi/; /bulgarski-brandove/,/,/,YES,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Български брандове за дрехи и модни марки | Българитъм,src/pages/[...slug].astro or dedicated route
/bulgarski-brandove/,intent_landing,0,0,924,/; /20-godishnina-ot-svatba-podarak/; /balgarski-maratonki/; /balgarsko-damsko-belo-pamuk/; /balni-rokli/; /beli-rokli/; /bezhovi-rokli/; /bizhuta-ot-kehlibar/; /bizhuta-ot-meditsinska-stomana/; /bizhuta-po-porachka/; /bizhuta-s-cheren-turmalin/; /bizhuta-s-diamanti/; /bizhuta-s-hematit/; /bizhuta-s-izumrud/; /bizhuta-s-labradorit/; /bizhuta-s-moysanit/; /bizhuta-s-perli/; /bizhuta-s-rubin/; /bizhuta-s-tigrovo-oko/; /bizhuta-s-tsitrin/; /blog/; /boho-roklya/; /brand/160-candles/; /brand/2-leta/; /brand/addict-boutique/; /brand/affect/; /brand/alleexxa/; /brand/alteya-organics/; /brand/amalina/; /brand/amira-perfumes/; /brand/armodini/; /brand/art-tochka/; /brand/aurababy/; /brand/aurora/; /brand/avenew/; /brand/axtracts/; /brand/ballhole/; /brand/bebeshki-spomeni/; /brand/belong/; /brand/benepura/; /brand/bohosi/; /brand/bolgeva/; /brand/boriana-sport/; /brand/cherryme/; /brand/code-moda/; /brand/comerse/; /brand/crafts-of-space/; /brand/cveta-todorova/; /brand/cyxo/; /brand/daniel-fashion/; … +874 more,/,/,YES,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Български брандове – каталог на родни марки | Българитъм,src/pages/[...slug].astro or dedicated route
/bulgarski-domashni-chehli/,intent_landing,0,0,0,,/bulgarski-drehi/obuvki/,/k/aksesoari/,NO,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Български домашни чехли – модели и идеи | Българитъм,src/pages/[...slug].astro or dedicated route
/bulgarski-drehi/obuvki/,clothing_landing,0,0,7,/balgarski-maratonki/; /bulgarski-boti/; /bulgarski-domashni-chehli/; /bulgarski-drehi/obuvki/; /bulgarski-mazhki-obuvki-estestvena-kozha/; /bulgarski-obuvki-estestvena-kozha/; /bulgarski-sandali-estestvena-kozha/,/bulgarski-drehi/obuvki/,/k/aksesoari/,NO,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Български обувки от локални марки | Българитъм,src/pages/bulgarski-drehi/[slug].astro
/bulgarski-kozeni-yaketa/,intent_landing,0,0,0,,/k/damsko-obleklo/,/bulgarski-drehi/,NO,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Български кожени якета – модели и идеи | Българитъм,src/pages/[...slug].astro or dedicated route
/bulgarski-letni-rokli/,intent_landing,0,0,0,,/k/damsko-obleklo/,/bulgarski-drehi/,NO,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Български летни рокли – модели и идеи | Българитъм,src/pages/[...slug].astro or dedicated route
/bulgarski-mazhki-obuvki-estestvena-kozha/,intent_landing,0,0,0,,/bulgarski-drehi/obuvki/,/k/aksesoari/,NO,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Български мъжки обувки от естествена кожа | Българитъм,src/pages/[...slug].astro or dedicated route
/bulgarski-mazhki-obuvki/,intent_landing,0,0,0,,/k/mazhko-obleklo/,/bulgarski-drehi/,NO,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Български мъжки обувки | Българитъм,src/pages/[...slug].astro or dedicated route
/bulgarski-mazhki-puloveri/,intent_landing,0,0,0,,/k/mazhko-obleklo/,/bulgarski-drehi/,NO,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Български мъжки пуловери | Българитъм,src/pages/[...slug].astro or dedicated route
/bulgarski-mazhki-yaketa/,intent_landing,0,0,0,,/k/mazhko-obleklo/,/bulgarski-drehi/,NO,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Български мъжки якета | Българитъм,src/pages/[...slug].astro or dedicated route
/bulgarski-mazhki-zimni-yaketa/,intent_landing,0,0,0,,/k/mazhko-obleklo/,/bulgarski-drehi/,NO,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Български мъжки зимни якета – модели и идеи | Българитъм,src/pages/[...slug].astro or dedicated route
/bulgarski-obuvki-estestvena-kozha/,intent_landing,0,0,0,,/bulgarski-drehi/obuvki/,/k/aksesoari/,NO,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Български обувки от естествена кожа | Българитъм,src/pages/[...slug].astro or dedicated route
/bulgarski-sandali-estestvena-kozha/,intent_landing,0,0,0,,/bulgarski-drehi/obuvki/,/k/aksesoari/,NO,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Български сандали от естествена кожа | Българитъм,src/pages/[...slug].astro or dedicated route
/bulgarsko-mazhko-belyo/,intent_landing,0,0,0,,/k/belio/,/bulgarski-drehi/,NO,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Българско мъжко бельо – модели и идеи | Българитъм,src/pages/[...slug].astro or dedicated route
/cherna-riza/,intent_landing,0,0,0,,/k/damsko-obleklo/,/bulgarski-drehi/,NO,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Черни ризи – модели и идеи | Българитъм,src/pages/[...slug].astro or dedicated route
/chervena-roklya/,intent_landing,0,0,0,,/k/damsko-obleklo/,/bulgarski-drehi/,NO,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Червени рокли – модели и идеи | Българитъм,src/pages/[...slug].astro or dedicated route
/damski-bluzi-s-dalag-rakav/,intent_landing,0,0,0,,/k/damsko-obleklo/,/bulgarski-drehi/,NO,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Дамски блузи с дълъг ръкав – модели и идеи | Българитъм,src/pages/[...slug].astro or dedicated route
/damski-bluzi-s-kas-rakav/,intent_landing,0,0,0,,/k/damsko-obleklo/,/bulgarski-drehi/,NO,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Дамски блузи с къс ръкав – модели и идеи | Българитъм,src/pages/[...slug].astro or dedicated route
/damski-rokli-s-dalag-rakav/,intent_landing,0,0,0,,/k/damsko-obleklo/,/bulgarski-drehi/,NO,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Дамски рокли с дълъг ръкав – модели и идеи | Българитъм,src/pages/[...slug].astro or dedicated route
/damski-rokli-s-kas-rakav/,intent_landing,0,0,0,,/k/damsko-obleklo/,/bulgarski-drehi/,NO,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Дамски рокли с къс ръкав – модели и идеи | Българитъм,src/pages/[...slug].astro or dedicated route
/esenni-rokli/,intent_landing,0,0,0,,/k/damsko-obleklo/,/bulgarski-drehi/,NO,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Есенни рокли – модели и идеи | Българитъм,src/pages/[...slug].astro or dedicated route
/godezhen-prasten-s-diamant/,intent_landing,0,0,0,,/k/bijuta/,/k/aksesoari/,NO,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Годежни пръстени с диамант – материал и детайли | Българитъм,src/pages/[...slug].astro or dedicated route
/grivna-cherven-konets/,intent_landing,0,0,0,,/k/bijuta/,/k/aksesoari/,NO,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Гривни с червен конец – материал и детайли | Българитъм,src/pages/[...slug].astro or dedicated route
/grivna-s-bukva/,intent_landing,0,0,0,,/k/bijuta/,/k/aksesoari/,NO,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Гривни с буква – материал и детайли | Българитъм,src/pages/[...slug].astro or dedicated route
/grivna-s-ime/,intent_landing,0,0,0,,/k/bijuta/,/k/aksesoari/,NO,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Гривни с име – материал и детайли | Българитъм,src/pages/[...slug].astro or dedicated route
/grivna-s-krast/,intent_landing,0,0,0,,/k/bijuta/,/k/aksesoari/,NO,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Гривни с кръст – материал и детайли | Българитъм,src/pages/[...slug].astro or dedicated route
/grivni-ot-meditsinska-stomana/,intent_landing,0,0,0,,/k/bijuta/,/k/aksesoari/,NO,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Гривни от медицинска стомана | Българитъм,src/pages/[...slug].astro or dedicated route
/hematit-grivna/,intent_landing,0,0,0,,/k/bijuta/,/k/aksesoari/,NO,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Гривни с хематит – материал и детайли | Българитъм,src/pages/[...slug].astro or dedicated route
/k/aksesoari-za-domashni-lyubimci/,taxonomy_landing,0,0,0,,/k/domashni-lyubimci/,/k/domashni-lyubimci/,NO,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Аксесоари | Домашни любимци | Българитъм,src/pages/k/[slug].astro
/k/banya/,taxonomy_landing,0,0,0,,/k/za-doma/,/k/za-doma/,NO,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Баня | Дом и интериор | Българитъм,src/pages/k/[slug].astro
/k/belio/,taxonomy_landing,0,0,3,/balgarsko-damsko-belo-pamuk/; /bulgarski-drehi/pizhami/; /bulgarsko-mazhko-belyo/,/bulgarski-drehi/,/bulgarski-drehi/,YES,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Българско бельо – модели и идеи | Българитъм,src/pages/k/[slug].astro
/k/chai-i-bilki/,taxonomy_landing,0,0,0,,/k/zdrave-i-grizha/,/k/zdrave-i-grizha/,NO,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Чай и билки | Здраве и грижа | Българитъм,src/pages/k/[slug].astro
/k/detski-aksesoari/,taxonomy_landing,0,0,0,,/k/deca/,/k/deca/,NO,NO,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Детски мебели и текстил | Деца | Българитъм,src/pages/k/[slug].astro
/k/detski-knigi/,taxonomy_landing,0,0,0,,/k/deca/,/k/deca/,NO,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Детски книги | Деца | Българитъм,src/pages/k/[slug].astro
/k/detski-mebeli-i-tekstil/,taxonomy_landing,0,0,0,,/k/deca/,/k/deca/,NO,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Детски мебели и текстил | Деца | Българитъм,src/pages/k/[slug].astro
/k/hrana-i-napitki/,taxonomy_landing,0,0,4,/k/napitki/; /p/cheresha/; /p/kaisiya/; /p/malina-500-ml-spetsialna-seriya/,/,/,YES,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Храна и напитки | Български продукти | Българитъм,src/pages/k/[slug].astro
/k/igri/,taxonomy_landing,0,0,0,,/k/zabavlenie/,/k/zabavlenie/,NO,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Игри | Забавление | Българитъм,src/pages/k/[slug].astro
/k/knigi/,taxonomy_landing,0,0,1,/bulgarski-detski-knigi/,/k/zabavlenie/,/k/zabavlenie/,NO,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Книги | Забавление | Българитъм,src/pages/k/[slug].astro
/k/kozmetika-za-deca/,taxonomy_landing,0,0,1,/bulgarska-bebeshka-kozmetika/,/k/deca/,/k/deca/,NO,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Козметика за деца | Деца | Българитъм,src/pages/k/[slug].astro
/k/kozmetika-za-mazhe/,taxonomy_landing,0,0,0,,/k/kozmetika/,/k/kozmetika/,NO,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,За мъже | Козметика | Българитъм,src/pages/k/[slug].astro
/k/napitki/,taxonomy_landing,0,0,0,,/k/hrana-i-napitki/,/k/hrana-i-napitki/,NO,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Напитки | Храна и напитки | Българитъм,src/pages/k/[slug].astro
/k/sport/,taxonomy_landing,0,0,0,,/k/zdrave-i-grizha/,/k/zdrave-i-grizha/,NO,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Спорт | Здраве и грижа | Българитъм,src/pages/k/[slug].astro
/k/zabavlenie/,taxonomy_landing,0,0,4,/bulgarski-detski-knigi/; /bulgarski-suveniri/; /k/igri/; /k/knigi/,/,/,NO,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Забавление | Български продукти | Българитъм,src/pages/k/[slug].astro
/kafyava-roklya/,intent_landing,0,0,0,,/k/damsko-obleklo/,/bulgarski-drehi/,NO,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Кафяви рокли – модели и идеи | Българитъм,src/pages/[...slug].astro or dedicated route
/koleden-podarak-za-mazh/,intent_landing,0,0,0,,/bulgarski-podaratsi/za-mazh/,/bulgarski-podaratsi/,NO,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Коледен подарък за мъж – идеи за подарък | Българитъм,src/pages/[...slug].astro or dedicated route
/kolieta-ot-meditsinska-stomana/,intent_landing,0,0,0,,/k/bijuta/,/k/aksesoari/,NO,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Колиета от медицинска стомана | Българитъм,src/pages/[...slug].astro or dedicated route
/kozmetika-za-dehidratirana-kozha/,intent_landing,0,0,0,,/k/kozmetika-lice/,/k/kozmetika/,NO,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Козметика за дехидратирана кожа | Българитъм,src/pages/[...slug].astro or dedicated route
/kozmetika-za-suha-kosa/,intent_landing,0,0,0,,/k/kozmetika-kosa/,/k/kozmetika/,NO,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Козметика за суха коса – грижа и състав | Българитъм,src/pages/[...slug].astro or dedicated route
/kutiya-za-bizhuta/,intent_landing,0,0,0,,/k/bijuta/,/k/aksesoari/,NO,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Кутия за бижута | Българитъм,src/pages/[...slug].astro or dedicated route
/originalen-podarak-za-10-godishno-momche/,intent_landing,0,0,0,,/bulgarski-podaratsi/za-dete/,/bulgarski-podaratsi/,NO,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Подарък за 10-годишно момче – идеи за подарък | Българитъм,src/pages/[...slug].astro or dedicated route
/originalen-podarak-za-10-godishno-momiche/,intent_landing,0,0,0,,/bulgarski-podaratsi/za-dete/,/bulgarski-podaratsi/,NO,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Подарък за 10-годишно момиче – идеи за подарък | Българитъм,src/pages/[...slug].astro or dedicated route
/originalen-podarak-za-9-godishno-momiche/,intent_landing,0,0,0,,/bulgarski-podaratsi/za-dete/,/bulgarski-podaratsi/,NO,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Подарък за 9-годишно момиче – идеи за подарък | Българитъм,src/pages/[...slug].astro or dedicated route
/originalen-podarak-za-momiche-na-7-godini/,intent_landing,0,0,0,,/bulgarski-podaratsi/za-dete/,/bulgarski-podaratsi/,NO,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Подарък за 7-годишно момиче – идеи за подарък | Българитъм,src/pages/[...slug].astro or dedicated route
/podarak-za-10-godishnina-ot-svatba/,intent_landing,0,0,0,,/bulgarski-podaratsi/,/bulgarski-podaratsi/,NO,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Подарък за 10 години от сватбата | Българитъм,src/pages/[...slug].astro or dedicated route
/podarak-za-25-godishen-mazh/,intent_landing,0,0,0,,/bulgarski-podaratsi/za-mazh/,/bulgarski-podaratsi/,NO,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Подарък за 25-годишен мъж – идеи за подарък | Българитъм,src/pages/[...slug].astro or dedicated route
/podarak-za-30-godishen-yubiley-zhena/,intent_landing,0,0,0,,/bulgarski-podaratsi/za-zhena/,/bulgarski-podaratsi/,NO,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Подарък за 30-годишна жена – идеи за подарък | Българитъм,src/pages/[...slug].astro or dedicated route
/podarak-za-4-godishno-momche/,intent_landing,0,0,0,,/bulgarski-podaratsi/za-dete/,/bulgarski-podaratsi/,NO,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Подарък за 4-годишно момче – идеи за подарък | Българитъм,src/pages/[...slug].astro or dedicated route
/podarak-za-40-godishnina-na-mazh/,intent_landing,0,0,0,,/bulgarski-podaratsi/za-mazh/,/bulgarski-podaratsi/,NO,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Подарък за 40-годишен мъж – идеи за подарък | Българитъм,src/pages/[...slug].astro or dedicated route
/podarak-za-40-godishnina-ot-svatba/,intent_landing,0,0,0,,/bulgarski-podaratsi/,/bulgarski-podaratsi/,NO,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Подарък за 40 години от сватбата | Българитъм,src/pages/[...slug].astro or dedicated route
/podarak-za-60-godishen-yubiley-mazh/,intent_landing,0,0,0,,/bulgarski-podaratsi/za-mazh/,/bulgarski-podaratsi/,NO,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Подарък за 60-годишен мъж – идеи за подарък | Българитъм,src/pages/[...slug].astro or dedicated route
/podarak-za-70-godishen-yubiley-na-zhena/,intent_landing,0,0,0,,/bulgarski-podaratsi/za-zhena/,/bulgarski-podaratsi/,NO,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Подарък за 70-годишна жена – идеи за подарък | Българитъм,src/pages/[...slug].astro or dedicated route
/podarak-za-70-godishnina-na-mazh/,intent_landing,0,0,0,,/bulgarski-podaratsi/za-mazh/,/bulgarski-podaratsi/,NO,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Подарък за 70-годишен мъж – идеи за подарък | Българитъм,src/pages/[...slug].astro or dedicated route
/podarak-za-8-mart-za-uchitelka/,intent_landing,0,0,0,,/bulgarski-podaratsi/za-zhena/,/bulgarski-podaratsi/,NO,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Подарък за учителка за 8 март – идеи за подарък | Българитъм,src/pages/[...slug].astro or dedicated route
/podarak-za-80-godishen-yubiley-zhena/,intent_landing,0,0,0,,/bulgarski-podaratsi/za-zhena/,/bulgarski-podaratsi/,NO,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Подарък за 80-годишна жена – идеи за подарък | Българитъм,src/pages/[...slug].astro or dedicated route
/podarak-za-80-godishnina-na-mazh/,intent_landing,0,0,0,,/bulgarski-podaratsi/za-mazh/,/bulgarski-podaratsi/,NO,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Подарък за 80-годишен мъж – идеи за подарък | Българитъм,src/pages/[...slug].astro or dedicated route
/podarak-za-dete-na-1-godina/,intent_landing,0,0,0,,/bulgarski-podaratsi/za-dete/,/bulgarski-podaratsi/,NO,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Подарък за дете на 1 година – идеи за подарък | Българитъм,src/pages/[...slug].astro or dedicated route
/podarak-za-dete-na-10-godini/,intent_landing,0,0,0,,/bulgarski-podaratsi/za-dete/,/bulgarski-podaratsi/,NO,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Подарък за дете на 10 години – идеи за подарък | Българитъм,src/pages/[...slug].astro or dedicated route
/podarak-za-dete-na-2-godini/,intent_landing,0,0,0,,/bulgarski-podaratsi/za-dete/,/bulgarski-podaratsi/,NO,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Подарък за дете на 2 години – идеи за подарък | Българитъм,src/pages/[...slug].astro or dedicated route
/podarak-za-dete-na-3-godini/,intent_landing,0,0,0,,/bulgarski-podaratsi/za-dete/,/bulgarski-podaratsi/,NO,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Подарък за дете на 3 години – идеи за подарък | Българитъм,src/pages/[...slug].astro or dedicated route
/podarak-za-dete-na-4-godini/,intent_landing,0,0,0,,/bulgarski-podaratsi/za-dete/,/bulgarski-podaratsi/,NO,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Подарък за дете на 4 години – идеи за подарък | Българитъм,src/pages/[...slug].astro or dedicated route
/podarak-za-dete-na-7-godini/,intent_landing,0,0,0,,/bulgarski-podaratsi/za-dete/,/bulgarski-podaratsi/,NO,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Подарък за дете на 7 години – идеи за подарък | Българитъм,src/pages/[...slug].astro or dedicated route
